,post_id,title,url,comment_count,vote_count,published_date
299,39666571,ใครไม่เก่งภาษาอังกฤษ แต่ฟลุ๊คได้งานที่ใช้ภาษาอังกฤษบ้างคะ,https://pantip.com/topic/39666571,85,4,2020-02-25T17:00:00.000000+0642
300,34714975,มาแชร์ เรื่อง สวัสดิการ ในบริษัทของท่านกันว่าเป็นอย่างไร,https://pantip.com/topic/34714975,179,19,2016-01-24T21:05:00.000000+0642
301,38995137,แรงงานพม่ามีเงินเก็บเยอะกว่าพนักงานออฟฟิศ,https://pantip.com/topic/38995137,60,3,2019-06-24T12:46:00.000000+0642
302,40079207,คิดว่าคนยุค baby boomer ไม่ต้องเก่งมาก ก็หางานรายได้ดีทำ ง่ายกว่าเด็กจบใหม่ยุคนี้ไหมคะ เทียบที่ความขยันเท่ากัน,https://pantip.com/topic/40079207,92,6,2020-07-23T09:08:00.000000+0642
303,35911064,แชร์ประสบการณ์การออมเงินของมนุษย์เงินเดือนค่ะ,https://pantip.com/topic/35911064,63,59,2016-12-14T16:08:00.000000+0642
304,40560214,***ทุกท่านมีรถในฝันกันบ้างไหมครับ แล้วทำฝันให้เป็นจริงกันหรือยังครับ***,https://pantip.com/topic/40560214,92,1,2021-03-04T23:09:00.000000+0642
305,36084620,เคยตกงานนานสุดกี่เดือนกี่ปีกันบ้างคะ แล้วระหว่างนั้นทำอย่างไรกันบ้าง,https://pantip.com/topic/36084620,120,0,2017-02-06T11:47:00.000000+0642
306,40546832,เปลี่ยนงานตอนอายุ 30 คิดว่าช้าไปมั้ยคะที่จะเริ่มต้นงานใหม่ แล้วจะมีโอกาสสมัครงานได้มั้ยคะ ใครมีประสบการณ์แบบนี้บ้างคะ?,https://pantip.com/topic/40546832,59,0,2021-02-26T19:03:00.000000+0642
307,37303728,เวลาคุณเกลียดใคร แต่จำเป็นต้องร่วมงานด้วย ต้องผูกมิตรด้วย คุณจะทำตัวอย่างไรกับเขา,https://pantip.com/topic/37303728,113,1,2018-01-22T07:55:00.000000+0642
308,40192982,พิษโควิด19 !! เป็นแอร์โฮสเตสวันสุดท้าย,https://pantip.com/topic/40192982,109,73,2020-09-12T19:14:00.000000+0642
309,33405558,แชร์เรื่องราวการค้นหาตัวเอง จาก “วิศวกร” สู่ “บาร์ริสต้า”,https://pantip.com/topic/33405558,200,179,2015-03-22T12:03:00.000000+0642
310,40067134,ผู้หญิงโสดสมัยนี้ คาดหวังแค่ไหนว่าแฟนที่เราจะใช้ชีวิตร่วมกันจะต้องมีเงินเดือนเท่าไหร่?,https://pantip.com/topic/40067134,155,1,2020-07-18T09:39:00.000000+0642
311,37183855,"""มาทำงานสายไม่เกิน10นาที แต่ทำงานได้ดีมาก""",https://pantip.com/topic/37183855,134,1,2017-12-13T20:38:00.000000+0642
312,36023786,คนที่มีลูก แต่ไม่มีเงินเก็บ แล้วทุกวันนี้หาเงินมาได้ก็ใช้ไปกับลูกหมด วางแผนชีวิตตอนแก่ยังไงคะ,https://pantip.com/topic/36023786,57,0,2017-01-18T18:23:00.000000+0642
313,40540165,กำลังจะเรียนจบแต่หมดไฟไม่มีเป้าหมายในชีวิตเพราะที่บ้านสนับสนุนหมดแล้ว ควรตั้งเป้าหมายอะไรต่อดี,https://pantip.com/topic/40540165,66,3,2021-02-23T16:23:00.000000+0642
314,35649222,เป็นผู้บริหารมืออาชีพมาเกือบ 20 ปี ถึงวันที่อยากจะปลดแอกชีวิตออกมาใช้ชีวิตนายตัวเอง ... เมื่อความรู้ท่วมหัวเอาตัวไม่รอด,https://pantip.com/topic/35649222,78,141,2016-09-30T10:59:00.000000+0642
